conversion_event_id,hcp_id,rep_id,account_id,product_id,linked_call_id,conversion_type,conversion_timestamp,days_from_call,conversion_value,attribution_confidence,source_system
CONV00001,HCP0036,REP008,ACC004,PRD001,INT00116,Prescription increase,2025-10-20T08:15:00,19,5,0.777,Patient Services
CONV00002,HCP0040,REP011,ACC005,PRD007,INT00125,Sample request,2026-03-24T22:00:00,10,2,0.943,CRM
CONV00003,HCP0019,REP005,ACC009,PRD003,INT00133,Sample request,2025-09-18T14:30:00,3,3,0.947,CRM
CONV00004,HCP0022,REP003,ACC003,PRD005,INT00190,Access discussion initiated,2025-03-28T19:45:00,19,5,0.871,Sales Ops
CONV00005,HCP0031,REP017,ACC006,PRD003,INT00109,New prescription start,2025-04-18T14:45:00,1,1,0.909,CRM
CONV00006,HCP0047,REP018,ACC010,PRD005,INT00171,Sample request,2025-08-11T18:45:00,4,4,0.893,Sample Management
CONV00007,HCP0002,REP008,ACC006,PRD001,INT00196,New prescription start,2025-10-12T17:00:00,29,4,0.87,Sales Ops
CONV00008,HCP0002,REP015,ACC006,PRD003,INT00084,Prescription increase,2025-01-30T18:15:00,12,1,0.816,Sales Ops
CONV00009,HCP0027,REP008,ACC004,PRD004,INT00089,Sample request,2026-02-22T12:30:00,13,1,0.948,CRM
CONV00010,HCP0023,REP002,ACC005,PRD007,INT00005,New prescription start,2026-02-05T16:45:00,10,1,0.916,Patient Services
CONV00011,HCP0039,REP010,ACC005,PRD007,INT00122,Sample request,2026-01-14T21:30:00,25,4,0.896,Sales Ops
CONV00012,HCP0034,REP004,ACC004,PRD003,INT00174,Follow-up meeting accepted,2025-07-19T15:15:00,21,5,0.953,CRM
CONV00013,HCP0003,REP001,ACC003,PRD004,INT00008,Medical information request,2025-12-04T15:45:00,1,4,0.819,Sample Management
CONV00014,HCP0043,REP012,ACC007,PRD010,INT00163,Prescription increase,2025-03-10T11:15:00,10,3,0.639,Sample Management
CONV00015,HCP0049,REP009,ACC004,PRD007,INT00045,New prescription start,2025-01-30T17:30:00,15,2,0.99,Sample Management
CONV00016,HCP0050,REP017,ACC008,PRD009,INT00037,Access discussion initiated,2025-04-25T13:30:00,1,3,0.926,Sales Ops
CONV00017,HCP0014,REP004,ACC012,PRD009,INT00002,Sample request,2025-11-04T18:15:00,29,1,0.9,Sample Management
CONV00018,HCP0010,REP012,ACC009,PRD008,INT00076,Prescription increase,2026-03-08T19:15:00,28,5,0.99,CRM
CONV00019,HCP0040,REP001,ACC005,PRD002,INT00146,Sample request,2025-10-10T17:30:00,11,3,0.951,CRM
CONV00020,HCP0016,REP003,ACC010,PRD006,INT00129,New prescription start,2026-01-08T18:15:00,23,1,0.682,Sales Ops
CONV00021,HCP0031,REP018,ACC006,PRD001,INT00158,Prescription increase,2026-04-16T23:15:00,7,3,0.788,Patient Services
CONV00022,HCP0049,REP016,ACC004,PRD001,INT00038,Prescription increase,2026-01-03T11:00:00,3,3,0.821,Sales Ops
CONV00023,HCP0037,REP003,ACC006,PRD008,INT00094,Access discussion initiated,2025-02-03T00:30:00,9,2,0.944,Sales Ops
CONV00024,HCP0030,REP015,ACC002,PRD001,INT00179,Sample request,2025-10-21T15:00:00,4,2,0.696,Sample Management
CONV00025,HCP0027,REP007,ACC004,PRD004,INT00119,Sample request,2025-04-17T18:45:00,17,1,0.846,Sample Management
CONV00026,HCP0002,REP011,ACC006,PRD004,INT00108,Prescription increase,2025-08-15T15:15:00,12,2,0.912,Patient Services
CONV00027,HCP0001,REP004,ACC012,PRD002,INT00042,Follow-up meeting accepted,2026-01-24T20:15:00,7,3,0.765,Sample Management
CONV00028,HCP0035,REP010,ACC003,PRD004,INT00047,Sample request,2026-01-12T19:00:00,7,4,0.957,CRM
CONV00029,HCP0007,REP016,ACC004,PRD010,,Follow-up meeting accepted,2025-08-13T00:00:00,,3,0.32,Sales Ops
CONV00030,HCP0038,REP009,ACC005,PRD005,,New prescription start,2025-07-29T00:00:00,,2,0.72,Sales Ops
CONV00031,HCP0038,REP005,ACC005,PRD002,,Sample request,2025-05-27T00:00:00,,1,0.393,Sales Ops
CONV00032,HCP0044,REP014,ACC011,PRD001,,Medical information request,2025-02-27T00:00:00,,3,0.308,Sales Ops
CONV00033,HCP0021,REP011,ACC006,PRD002,,Medical information request,2025-02-11T00:00:00,,3,0.631,Sales Ops
CONV00034,HCP0012,REP006,ACC007,PRD010,,Access discussion initiated,2025-03-06T00:00:00,,3,0.501,Sales Ops
