engagement_id,hcp_id,account_id,campaign_id,engagement_date,touchpoint,engagement_event,engagement_value,device_type,source_system
DIG00001,HCP0012,ACC007,CMP011,2024-02-07,Web visit,Rep Email,8,Tablet,Veeva
DIG00002,HCP0009,ACC004,CMP007,2025-03-05,Asset download,Webinar Attend,93,Tablet,Veeva
DIG00003,HCP0039,ACC005,CMP001,2024-12-18,Banner,Rep Email,79,Desktop,Webinar platform
DIG00004,HCP0039,ACC005,CMP011,2025-04-01,Web visit,Rep Email,80,Tablet,Webinar platform
DIG00005,HCP0044,ACC011,CMP006,2025-12-15,Webinar registration,Click,39,Desktop,GA4
DIG00006,HCP0027,ACC004,CMP006,2025-07-04,Webinar registration,Click,67,Tablet,Veeva
DIG00007,HCP0015,ACC011,CMP002,2024-08-06,Asset download,Rep Email,40,Tablet,Veeva
DIG00008,HCP0012,ACC007,CMP003,2025-10-12,Email,Open,70,Tablet,Veeva
DIG00009,HCP0024,ACC012,CMP005,2024-09-04,Webinar registration,Rep Email,15,Tablet,GA4
DIG00010,HCP0015,ACC011,CMP005,2025-01-16,Asset download,Webinar Attend,16,Desktop,GA4
DIG00011,HCP0016,ACC010,CMP005,2025-04-04,Asset download,Open,59,Mobile,Marketing Cloud
DIG00012,HCP0013,ACC007,CMP010,2025-08-18,Asset download,Rep Email,30,Mobile,Veeva
DIG00013,HCP0017,ACC003,CMP011,2024-10-18,Asset download,Click,92,Mobile,Marketing Cloud
DIG00014,HCP0037,ACC006,CMP006,2024-04-17,Asset download,Rep Email,25,Mobile,Webinar platform
DIG00015,HCP0008,ACC011,CMP003,2024-04-10,Webinar registration,Paper Download,11,Desktop,GA4
DIG00016,HCP0047,ACC010,CMP003,2025-03-11,Webinar registration,Click,58,Desktop,Veeva
DIG00017,HCP0008,ACC011,CMP009,2025-11-24,Webinar registration,Rep Email,72,Tablet,Webinar platform
DIG00018,HCP0031,ACC006,CMP010,2024-09-27,Webinar registration,Paper Download,57,Tablet,Webinar platform
DIG00019,HCP0046,ACC004,CMP007,2026-01-19,Web visit,Click,65,Desktop,Webinar platform
DIG00020,HCP0031,ACC006,CMP008,2025-12-29,Web visit,Rep Email,68,Desktop,Marketing Cloud
DIG00021,HCP0003,ACC003,CMP008,2025-04-11,Email,Click,72,Mobile,GA4
DIG00022,HCP0003,ACC003,CMP007,2025-09-08,Email,Open,48,Tablet,Veeva
DIG00023,HCP0009,ACC004,CMP009,2024-02-11,Web visit,Open,48,Mobile,Veeva
DIG00024,HCP0019,ACC009,CMP005,2024-11-06,Webinar registration,Open,19,Desktop,Webinar platform
DIG00025,HCP0038,ACC005,CMP005,2024-02-19,Banner,Click,24,Tablet,Webinar platform
DIG00026,HCP0029,ACC004,CMP002,2024-01-03,Asset download,Webinar Attend,9,Desktop,Webinar platform
DIG00027,HCP0004,ACC008,CMP010,2025-05-07,Banner,Rep Email,58,Mobile,Webinar platform
