interaction_id,hcp_id,rep_id,channel,account_id,product_id,discussion_topic,duration_minutes,objective_type,objection_raised_flag,follow_up_required_flag,call_outcome,crm_note_raw,next_step_raw,interaction_datetime
INT00117,HCP0012,REP002,In-person,ACC007,PRD001,Dosing,12,Medical question,1,0,No Access,Mean eye staff rule.,Schedule next visit,2025-01-05T17:00:00
INT00151,HCP0038,REP011,Virtual,ACC005,PRD002,Safety,5,Sample request,0,1,Neutral,Oil offer knowledge hospital sign open matter. Young lot far turn beat story.,No action,2025-01-09T17:15:00
INT00170,HCP0006,REP004,Phone,ACC010,PRD004,Dosing,10,Access discussion,0,1,Neutral,Yet travel think few themselves. Behavior growth bar professor power.,Schedule next visit,2025-01-12T18:00:00
INT00071,HCP0014,REP008,Phone,ACC012,PRD007,Dosing,7,Detail,0,0,Neutral,Save material hit.,Share payer update,2025-01-15T09:30:00
INT00045,HCP0049,REP009,In-person,ACC004,PRD007,Safety,14,Detail,0,0,No Access,Position always remain yard model particular hair.,Send clinical deck,2025-01-15T12:30:00
INT00128,HCP0008,REP016,Phone,ACC011,PRD004,Dosing,16,Sample request,1,0,No Access,Include successful discuss.,Share payer update,2025-01-17T14:15:00
INT00084,HCP0002,REP015,In-person,ACC006,PRD003,Safety,14,Medical question,0,1,Neutral,Anything no guy eye hit late.,Share payer update,2025-01-18T09:15:00
INT00060,HCP0002,REP006,Phone,ACC006,PRD006,Safety,14,Sample request,0,0,No Access,Window attack moment medical write never hospital.,Schedule next visit,2025-01-21T15:45:00
INT00094,HCP0037,REP003,Phone,ACC006,PRD008,Trial Data,21,Medical question,0,0,Needs Follow-up,Among western bad under pretty.,Schedule next visit,2025-01-24T17:30:00
INT00187,HCP0042,REP002,Email,ACC004,PRD003,Efficacy,6,Follow-up,1,0,Positive,Physical many member area teacher cold church.,Share payer update,2025-01-24T18:45:00
INT00100,HCP0049,REP012,Virtual,ACC004,PRD005,Efficacy,12,Access discussion,0,0,No Access,Writer myself management voice surface life cover.,Arrange MSL follow-up,2025-01-25T12:45:00
INT00189,HCP0018,REP006,Phone,ACC001,PRD003,Access,16,Detail,0,0,Neutral,Turn condition whether along sort research. Different eat trouble floor step number.,Share payer update,2025-01-27T18:30:00
INT00159,HCP0005,REP005,Virtual,ACC005,PRD009,Safety,12,Medical question,0,0,Needs Follow-up,Weight machine crime himself no president.,Arrange MSL follow-up,2025-02-02T14:30:00
INT00057,HCP0041,REP015,In-person,ACC002,PRD005,Access,21,Detail,0,1,Positive,Social case expert stop receive catch.,Schedule next visit,2025-02-04T15:30:00
INT00192,HCP0034,REP005,Phone,ACC004,PRD009,Patient Selection,17,Sample request,0,1,Neutral,Drug happy will young simply run national somebody.,Share payer update,2025-02-05T17:00:00
INT00081,HCP0015,REP014,In-person,ACC011,PRD008,Access,13,Detail,0,0,Needs Follow-up,War ten industry while total.,Schedule next visit,2025-02-10T17:15:00
INT00157,HCP0014,REP001,In-person,ACC012,PRD002,Dosing,15,Detail,0,0,No Access,Health center home others.,Send clinical deck,2025-02-15T16:00:00
INT00097,HCP0041,REP018,Email,ACC002,PRD004,Dosing,11,Medical question,0,0,Positive,Fly position traditional become off.,Send clinical deck,2025-02-24T11:45:00
INT00163,HCP0043,REP012,Email,ACC007,PRD010,Patient Selection,17,Follow-up,1,0,Positive,Technology particular into pattern size spend. Now mother others collection.,Share payer update,2025-02-28T11:15:00
INT00087,HCP0018,REP007,Phone,ACC001,PRD001,Safety,17,Detail,0,1,Needs Follow-up,Order medical meeting majority none. Staff happy purpose woman on someone rise.,Send clinical deck,2025-03-04T09:45:00
INT00073,HCP0037,REP010,Virtual,ACC006,PRD005,Efficacy,5,Detail,1,1,Positive,Young specific whose worry property remember.,No action,2025-03-04T11:45:00
INT00190,HCP0022,REP003,Email,ACC003,PRD005,Patient Selection,3,Sample request,0,0,Neutral,Pull apply development middle animal husband theory.,Share payer update,2025-03-09T11:45:00
INT00126,HCP0018,REP015,Email,ACC001,PRD007,Patient Selection,20,Medical question,0,1,Positive,Result far cultural discover now early nearly want. Either start whom politics make collection.,Share payer update,2025-03-09T14:45:00
INT00164,HCP0034,REP016,In-person,ACC004,PRD010,Trial Data,7,Medical question,1,0,No Access,Of weight method too spring.,No action,2025-03-13T12:15:00
INT00155,HCP0026,REP009,Virtual,ACC012,PRD002,Access,13,Sample request,0,0,Positive,Son Mr hand culture. Energy television month police.,Schedule next visit,2025-03-20T18:15:00
INT00092,HCP0043,REP006,In-person,ACC007,PRD001,Dosing,5,Sample request,0,1,Needs Follow-up,Relate real major look night.,Arrange MSL follow-up,2025-03-24T11:30:00
INT00143,HCP0008,REP015,Phone,ACC011,PRD005,Trial Data,20,Medical question,0,1,Positive,Factor hold be. Toward within occur college herself catch feeling.,No action,2025-03-28T13:15:00
INT00020,HCP0043,REP006,Phone,ACC007,PRD004,Safety,18,Access discussion,0,0,No Access,Music sometimes body term.,Schedule next visit,2025-03-29T09:45:00
INT00107,HCP0019,REP016,Phone,ACC009,PRD008,Patient Selection,10,Detail,0,0,Positive,Quite other skin moment month.,Share payer update,2025-03-29T18:45:00
INT00119,HCP0027,REP007,Virtual,ACC004,PRD004,Patient Selection,19,Sample request,0,0,Positive,Many win walk provide skill five indicate. Feel contain Mrs drive.,Arrange MSL follow-up,2025-03-31T18:45:00
INT00162,HCP0019,REP011,Virtual,ACC009,PRD002,Access,21,Follow-up,0,0,Needs Follow-up,Enjoy television beautiful tend bring speech decide.,Share payer update,2025-04-01T13:30:00
INT00173,HCP0024,REP011,Virtual,ACC012,PRD004,Access,19,Sample request,1,1,No Access,Local director become south. Finish thing case similar.,No action,2025-04-11T09:30:00
INT00142,HCP0030,REP005,Phone,ACC002,PRD008,Dosing,18,Access discussion,0,0,No Access,Government behavior our foot.,Share payer update,2025-04-11T11:45:00
INT00078,HCP0043,REP010,In-person,ACC007,PRD003,Efficacy,12,Access discussion,1,1,No Access,American tell ball we side enough decision. Indicate police marriage phone face what lot.,Schedule next visit,2025-04-14T11:00:00
INT00009,HCP0038,REP002,In-person,ACC005,PRD001,Dosing,17,Medical question,0,0,Neutral,Seat strategy total simply discover soon despite couple.,Arrange MSL follow-up,2025-04-15T16:15:00
INT00096,HCP0004,REP015,In-person,ACC008,PRD003,Dosing,13,Sample request,1,0,Needs Follow-up,Race case who within. Imagine various there local.,No action,2025-04-15T17:15:00
INT00034,HCP0013,REP018,In-person,ACC007,PRD007,Patient Selection,7,Access discussion,0,0,Neutral,Accept thank not husband center plan. Begin most heavy.,Arrange MSL follow-up,2025-04-17T11:15:00
INT00109,HCP0031,REP017,Virtual,ACC006,PRD003,Patient Selection,13,Follow-up,1,1,Needs Follow-up,Major together knowledge argue car indeed nor next.,No action,2025-04-17T13:45:00
INT00113,HCP0003,REP016,In-person,ACC003,PRD005,Safety,7,Detail,0,0,Positive,President girl condition Mr. Camera without strong series without leg rest.,No action,2025-04-20T16:30:00
INT00180,HCP0043,REP018,In-person,ACC007,PRD007,Access,4,Medical question,0,0,Positive,Expert Republican short interest I policy Mrs. Everyone finally memory data.,Share payer update,2025-04-22T09:15:00
INT00037,HCP0050,REP017,Virtual,ACC008,PRD009,Patient Selection,3,Detail,1,0,No Access,Face build market issue can.,Send clinical deck,2025-04-24T08:30:00
INT00044,HCP0007,REP016,Email,ACC004,PRD004,Efficacy,11,Access discussion,0,0,Positive,Painting may whatever late specific study.,No action,2025-04-25T13:30:00
INT00018,HCP0047,REP010,Email,ACC010,PRD006,Trial Data,6,Medical question,0,1,Needs Follow-up,Production politics others again. During call north attention share debate.,Send clinical deck,2025-04-27T09:45:00
INT00191,HCP0021,REP003,Email,ACC006,PRD001,Access,13,Sample request,0,0,No Access,Force network account customer nor.,Arrange MSL follow-up,2025-04-28T09:00:00
INT00175,HCP0048,REP004,In-person,ACC010,PRD001,Dosing,7,Access discussion,1,0,Neutral,Physical character in rather team. To cause but role.,No action,2025-05-03T09:15:00
INT00067,HCP0041,REP018,In-person,ACC002,PRD002,Dosing,21,Medical question,1,0,No Access,Knowledge response coach know language.,No action,2025-05-03T15:15:00
INT00147,HCP0049,REP005,In-person,ACC004,PRD007,Safety,11,Medical question,0,0,No Access,Same plan whose site for. Staff hotel box nor or.,Share payer update,2025-05-04T17:30:00
INT00095,HCP0027,REP016,Virtual,ACC004,PRD009,Trial Data,5,Detail,0,0,No Access,Dark Mrs usually receive case. Scientist dream anything toward difficult do beyond form.,Share payer update,2025-05-06T14:30:00
