kol_id,hcp_id,hcp_name,specialty_group,sub_specialty,affiliated_account_id,affiliated_hospital,region,territory,kol_tier,influence_score,citation_count_5y,speaker_event_count_12m,network_centrality_score,topic_focus_primary,topic_focus_secondary,institution_prestige_band,rising_star_flag,last_kol_review_date,source_system
KOL0001,HCP0003,Matthew Mejia,Cardiology,Heart Failure,ACC003,"Mcclain, Miller and Henderson",West,T06,Tier 2,0.913,41,13,0.679,Safety,Treatment sequencing,Medium,1,2026-01-23,Synthetic KOL Master
KOL0002,HCP0005,Roy Martin,Oncology,Breast Oncology,ACC005,"Guzman, Hoffman and Baldwin",Midwest,T01,Tier 1,0.787,49,8,0.663,Patient Selection,Treatment sequencing,Emerging,1,2026-02-28,Synthetic KOL Master
KOL0003,HCP0025,Valerie Gill,Immunology,Dermatology,ACC001,"Rodriguez, Figueroa and Sanchez",Midwest,T02,Tier 1,0.976,92,10,0.655,Patient Selection,Adherence,Medium,1,2026-02-25,Synthetic KOL Master
KOL0004,HCP0008,Danielle Ford,Oncology,Thoracic Oncology,ACC011,Blair PLC,West,T02,Tier 2,0.98,115,14,0.346,Real-World Evidence,Combination therapy,High,0,2026-01-06,Synthetic KOL Master
KOL0005,HCP0012,Austin Gentry,Oncology,Hematology Oncology,ACC007,Blake and Sons,Northeast,T02,Tier 2,0.98,157,6,0.729,Biomarkers,Adherence,High,1,2026-02-02,Synthetic KOL Master
KOL0006,HCP0027,Katie Gonzalez,Oncology,Thoracic Oncology,ACC004,Davis and Sons,Southeast,T06,Tier 3,0.98,109,9,0.46,Access,Treatment sequencing,Medium,0,2025-11-07,Synthetic KOL Master
KOL0007,HCP0030,Brian Cox DVM,Cardiology,Electrophysiology,ACC002,Doyle Ltd,South,T01,Tier 2,0.685,45,5,0.503,Patient Selection,Disease burden,High,0,2025-10-28,Synthetic KOL Master
KOL0008,HCP0034,Matthew Arroyo,Cardiology,Heart Failure,ACC004,Davis and Sons,West,T06,Tier 1,0.922,74,10,0.688,Biomarkers,Guideline updates,Emerging,1,2025-11-04,Synthetic KOL Master
KOL0009,HCP0038,Jacqueline Lam,Oncology,Hematology Oncology,ACC005,"Guzman, Hoffman and Baldwin",Southeast,T01,Tier 1,0.904,108,6,0.71,Safety,Combination therapy,Emerging,1,2025-12-31,Synthetic KOL Master
KOL0010,HCP0045,Dana Kennedy,Cardiology,Interventional Cardiology,ACC009,Garcia-James,Northeast,T02,Tier 3,0.847,19,13,0.55,Patient Selection,Disease burden,Medium,0,2025-10-09,Synthetic KOL Master
KOL0011,HCP0046,Brandon Hopkins,Cardiology,Interventional Cardiology,ACC004,Davis and Sons,West,T06,Tier 2,0.955,145,4,0.182,Real-World Evidence,Adherence,Medium,0,2025-12-08,Synthetic KOL Master
KOL0012,HCP0011,Rodney Trujillo,Cardiology,Electrophysiology,ACC008,"Henderson, Ramirez and Lewis",Midwest,T01,Tier 1,0.98,110,9,0.4,Efficacy,Adherence,Emerging,0,2025-11-21,Synthetic KOL Master
KOL0013,HCP0019,Linda Cruz,Cardiology,Electrophysiology,ACC009,Garcia-James,South,T02,Tier 2,0.976,102,9,0.612,Real-World Evidence,Combination therapy,Medium,0,2026-03-28,Synthetic KOL Master
KOL0014,HCP0037,Michelle Ross,Cardiology,Electrophysiology,ACC006,"Gardner, Robinson and Lawrence",Midwest,T04,Tier 2,0.98,77,14,0.362,Safety,Treatment sequencing,Medium,0,2025-10-14,Synthetic KOL Master
KOL0015,HCP0041,Michael Brown,Cardiology,Interventional Cardiology,ACC002,Doyle Ltd,Midwest,T01,Tier 2,0.679,33,6,0.861,Safety,Combination therapy,High,0,2025-12-16,Synthetic KOL Master
KOL0016,HCP0001,Edward Fuller,Immunology,Rheumatology,ACC012,Dudley Group,South,T06,Tier 2,0.98,138,9,0.634,Real-World Evidence,Adherence,High,1,2025-10-06,Synthetic KOL Master
KOL0017,HCP0020,Julie King,Oncology,Breast Oncology,ACC008,"Henderson, Ramirez and Lewis",Midwest,T01,Tier 2,0.853,111,4,0.507,Safety,Guideline updates,Medium,0,2025-11-17,Synthetic KOL Master
KOL0018,HCP0023,Gina Carter,Oncology,Breast Oncology,ACC005,"Guzman, Hoffman and Baldwin",West,T01,Tier 3,0.89,160,2,0.354,Safety,Adherence,Emerging,0,2025-12-29,Synthetic KOL Master
