market_event_id,event_date,product_id,event_type,region,event_severity,summary_raw,source_name
MKT0001,2025-02-15,PRD004,Competitor launch,West,Medium,Order answer blue structure answer break know.,Payer bulletin
MKT0002,2025-09-05,PRD008,Safety update,West,Low,Natural listen check receive piece feeling product production establish.,Press release
MKT0003,2025-01-28,PRD004,Payer policy change,South,High,Red industry together memory pay executive size marriage participant sing story win group important civil nature.,Internal notes
MKT0004,2024-04-13,PRD007,Guideline update,Northeast,Medium,Read lose doctor actually become book off management we single.,Internal notes
MKT0005,2024-12-02,PRD010,Label expansion,Southeast,Low,Rich big eight discuss write fast less between.,FDA
MKT0006,2024-01-13,PRD009,Label expansion,Northeast,High,Them system growth quality international break surface three act.,Payer bulletin
MKT0007,2025-08-09,PRD007,Biosimilar entry,West,Medium,Professional color group just perform there behavior spring consumer.,Conference
MKT0008,2025-03-07,PRD001,Payer policy change,West,Medium,Hundred lead structure ready long instead though coach car risk word such billion.,Payer bulletin
MKT0009,2024-09-05,PRD006,Biosimilar entry,Northeast,Low,Lot notice just particularly single particularly television they road through low maintain thought key as pressure.,Payer bulletin
MKT0010,2024-11-15,PRD007,Label expansion,South,High,Relate question should office north within prove.,Conference
MKT0011,2024-11-14,PRD004,Label expansion,West,Low,Mind read peace item risk loss professional political chance step throughout party.,Payer bulletin
MKT0012,2025-04-25,PRD007,Guideline update,West,Medium,Poor church support system thank avoid man.,Conference
MKT0013,2025-01-12,PRD010,Competitor launch,West,High,Former everything medical nearly her stage bad know of because.,Payer bulletin
MKT0014,2024-02-28,PRD001,Biosimilar entry,West,High,Language budget market president bill include news a before page people fight meet deal.,FDA
MKT0015,2025-03-08,PRD007,Guideline update,Southeast,Low,Wear guy approach development lawyer nice people list price respond box service develop game.,Payer bulletin
MKT0016,2024-03-11,PRD002,Guideline update,Southeast,High,Natural hear blood to manage state score important effect cultural building.,Press release
MKT0017,2025-12-12,PRD001,Safety update,South,High,Democratic station course full serious another plan public but through leader operation mean.,Conference
MKT0018,2025-08-15,PRD002,Label expansion,Midwest,High,Above save network item one under sit travel reality community spring billion price paper.,Conference
MKT0019,2025-03-04,PRD004,Guideline update,Southeast,Low,Mean his woman trouble several event white wife laugh card include record.,Press release
MKT0020,2024-02-13,PRD005,Payer policy change,Southeast,Low,Federal reduce team Republican very plan cut person fact generation public wonder practice when mean.,Payer bulletin
MKT0021,2025-12-10,PRD010,Biosimilar entry,South,High,Report set no old wall report purpose throw move there institution actually.,Payer bulletin
MKT0022,2024-09-01,PRD009,Payer policy change,Midwest,High,Agent certainly prove customer seek claim expert economy.,Press release
MKT0023,2024-07-29,PRD004,Payer policy change,Southeast,Low,Real far send allow sport bill test science.,Conference
MKT0024,2024-01-11,PRD003,Competitor launch,Midwest,Low,Score night down six sometimes explain professor unit hold what.,Internal notes
MKT0025,2024-04-27,PRD010,Biosimilar entry,Midwest,Medium,Whole approach season data than team kitchen difficult plant remember happy open.,Payer bulletin
