claim_id,hcp_id,product_id,service_month,n_rx,new_rx,total_patients,payer_type,channel_source,geo_region
CLM000001,HCP0014,PRD005,2024-01-01,12,5,5,Medicare,Sample,Southeast
CLM000002,HCP0014,PRD003,2024-02-01,37,15,48,Medicaid,Claims,Southeast
CLM000003,HCP0014,PRD001,2024-03-01,15,8,32,Commercial,Syndicated Rx,Southeast
CLM000004,HCP0014,PRD010,2024-05-01,18,2,9,Cash,Syndicated Rx,Southeast
CLM000005,HCP0014,PRD008,2024-06-01,32,1,41,Medicare,Syndicated Rx,Southeast
CLM000006,HCP0014,PRD007,2024-07-01,39,3,48,Commercial,Claims,Southeast
CLM000007,HCP0014,PRD009,2024-08-01,2,0,5,Medicare,Claims,Southeast
CLM000008,HCP0014,PRD008,2024-09-01,21,12,17,Commercial,Sample,Southeast
CLM000009,HCP0014,PRD010,2024-11-01,27,13,33,Medicare,Syndicated Rx,Southeast
CLM000010,HCP0014,PRD010,2025-01-01,38,2,28,Commercial,Sample,Southeast
CLM000011,HCP0014,PRD002,2025-02-01,12,1,12,Commercial,Syndicated Rx,Southeast
CLM000012,HCP0014,PRD005,2025-03-01,32,14,33,Medicaid,Claims,Southeast
CLM000013,HCP0014,PRD007,2025-04-01,23,0,17,Medicaid,Sample,Southeast
CLM000014,HCP0014,PRD004,2025-06-01,36,7,30,Cash,Claims,Southeast
CLM000015,HCP0014,PRD001,2025-07-01,32,17,26,Commercial,Syndicated Rx,Southeast
CLM000016,HCP0014,PRD002,2025-08-01,39,17,57,Commercial,Syndicated Rx,Southeast
CLM000017,HCP0014,PRD005,2025-09-01,31,12,18,Medicare,Sample,Southeast
CLM000018,HCP0014,PRD001,2025-11-01,10,1,27,Medicaid,Claims,Southeast
CLM000019,HCP0014,PRD010,2025-12-01,40,7,33,Medicaid,Syndicated Rx,Southeast
CLM000020,HCP0014,PRD008,2026-02-01,35,3,13,Cash,Claims,Southeast
CLM000021,HCP0014,PRD004,2026-03-01,28,1,47,Medicare,Claims,Southeast
CLM000022,HCP0014,PRD002,2026-04-01,35,10,54,Medicaid,Syndicated Rx,Southeast
CLM000023,HCP0014,PRD009,2026-05-01,11,7,13,Medicare,Sample,Southeast
CLM000024,HCP0016,PRD009,2024-01-01,13,3,19,Cash,Syndicated Rx,South
CLM000025,HCP0016,PRD010,2024-02-01,39,17,30,Cash,Syndicated Rx,South
CLM000026,HCP0016,PRD009,2024-03-01,8,3,10,Medicaid,Sample,South
CLM000027,HCP0016,PRD004,2024-04-01,14,1,31,Medicaid,Claims,South
CLM000028,HCP0016,PRD002,2024-05-01,29,7,32,Commercial,Sample,South
CLM000029,HCP0016,PRD008,2024-06-01,6,5,17,Cash,Sample,South
CLM000030,HCP0016,PRD009,2024-07-01,13,7,21,Commercial,Claims,South
CLM000031,HCP0016,PRD002,2024-08-01,15,1,9,Medicare,Syndicated Rx,South
CLM000032,HCP0016,PRD008,2024-09-01,39,2,42,Medicaid,Claims,South
CLM000033,HCP0016,PRD008,2024-10-01,14,2,33,Cash,Claims,South
CLM000034,HCP0016,PRD008,2024-11-01,17,10,11,Cash,Claims,South
CLM000035,HCP0016,PRD009,2024-12-01,45,18,64,Cash,Syndicated Rx,South
CLM000036,HCP0016,PRD001,2025-01-01,24,13,35,Medicare,Claims,South
CLM000037,HCP0016,PRD002,2025-02-01,23,14,15,Medicare,Sample,South
CLM000038,HCP0016,PRD004,2025-03-01,48,13,43,Commercial,Claims,South
CLM000039,HCP0016,PRD010,2025-04-01,30,4,17,Medicare,Sample,South
CLM000040,HCP0016,PRD002,2025-06-01,24,0,27,Cash,Sample,South
