quota_id,rep_id,territory,region,report_month,therapy_area,call_quota,sample_quota,target_hcp_visits,target_conversion_rate,manager_review_flag,source_system
QTA00001,REP001,T01,Northeast,2024-01-01,Oncology,43,5,32,0.116,0,Synthetic Sales Ops
QTA00002,REP001,T01,Northeast,2024-02-01,Oncology,56,13,42,0.118,0,Synthetic Sales Ops
QTA00003,REP001,T01,Northeast,2024-03-01,Oncology,40,8,30,0.094,0,Synthetic Sales Ops
QTA00004,REP001,T01,Northeast,2024-04-01,Oncology,46,7,34,0.131,1,Synthetic Sales Ops
QTA00005,REP001,T01,Northeast,2024-05-01,Oncology,48,5,36,0.077,0,Synthetic Sales Ops
QTA00006,REP001,T01,Northeast,2024-06-01,Oncology,48,11,36,0.113,0,Synthetic Sales Ops
QTA00007,REP001,T01,Northeast,2024-07-01,Oncology,47,5,35,0.091,0,Synthetic Sales Ops
QTA00008,REP001,T01,Northeast,2024-08-01,Oncology,57,6,42,0.127,0,Synthetic Sales Ops
QTA00009,REP001,T01,Northeast,2024-09-01,Oncology,52,8,39,0.107,0,Synthetic Sales Ops
QTA00010,REP001,T01,Northeast,2024-10-01,Oncology,46,8,34,0.101,0,Synthetic Sales Ops
QTA00011,REP001,T01,Northeast,2024-11-01,Oncology,43,8,32,0.142,1,Synthetic Sales Ops
QTA00012,REP001,T01,Northeast,2024-12-01,Oncology,48,8,36,0.136,1,Synthetic Sales Ops
QTA00013,REP001,T01,Northeast,2025-01-01,Oncology,47,10,35,0.119,1,Synthetic Sales Ops
QTA00014,REP001,T01,Northeast,2025-02-01,Oncology,49,5,36,0.083,0,Synthetic Sales Ops
QTA00015,REP001,T01,Northeast,2025-03-01,Oncology,55,7,41,0.102,0,Synthetic Sales Ops
QTA00016,REP001,T01,Northeast,2025-04-01,Oncology,44,6,33,0.123,1,Synthetic Sales Ops
QTA00017,REP001,T01,Northeast,2025-05-01,Oncology,48,7,36,0.117,0,Synthetic Sales Ops
QTA00018,REP001,T01,Northeast,2025-06-01,Oncology,49,9,36,0.069,0,Synthetic Sales Ops
QTA00019,REP001,T01,Northeast,2025-07-01,Oncology,45,5,33,0.092,1,Synthetic Sales Ops
QTA00020,REP001,T01,Northeast,2025-08-01,Oncology,52,5,39,0.111,0,Synthetic Sales Ops
QTA00021,REP001,T01,Northeast,2025-09-01,Oncology,50,7,37,0.103,0,Synthetic Sales Ops
QTA00022,REP001,T01,Northeast,2025-10-01,Oncology,51,10,38,0.107,1,Synthetic Sales Ops
QTA00023,REP001,T01,Northeast,2025-11-01,Oncology,48,8,36,0.114,0,Synthetic Sales Ops
QTA00024,REP001,T01,Northeast,2025-12-01,Oncology,49,8,36,0.16,0,Synthetic Sales Ops
QTA00025,REP002,T02,Midwest,2024-01-01,Cardiology,38,7,28,0.081,1,Synthetic Sales Ops
QTA00026,REP002,T02,Midwest,2024-02-01,Cardiology,43,10,32,0.095,1,Synthetic Sales Ops
QTA00027,REP002,T02,Midwest,2024-03-01,Cardiology,33,7,24,0.089,1,Synthetic Sales Ops
QTA00028,REP002,T02,Midwest,2024-04-01,Cardiology,50,6,37,0.092,0,Synthetic Sales Ops
QTA00029,REP002,T02,Midwest,2024-05-01,Cardiology,34,5,25,0.153,0,Synthetic Sales Ops
QTA00030,REP002,T02,Midwest,2024-06-01,Cardiology,37,11,27,0.168,0,Synthetic Sales Ops
QTA00031,REP002,T02,Midwest,2024-07-01,Cardiology,40,8,30,0.145,0,Synthetic Sales Ops
