table_name,column_name,data_type,required,pii_or_phi,definition,example_value,source_system
account_master,account_id,string,Y,N,Unique source identifier for the account,ACC001,Synthetic
account_master,account_name,string,Y,N,"Hospital, clinic, or group name",St. Mary Medical Center,Synthetic
account_master,account_type,string,Y,N,Type of institution,Academic Medical Center,Synthetic
account_master,region,string,Y,N,Commercial region,Northeast,Synthetic
account_master,territory,string,Y,N,Sales territory code,T03,Synthetic
account_master,patient_volume_band,string,Y,N,Relative patient volume classification,Very High,Synthetic
account_master,payer_mix,string,Y,N,Dominant payer composition,Balanced,Synthetic
account_master,hospitals_in_network,integer,Y,N,Count of facilities in network,4,Synthetic
account_master,adult_patient_volume_est,integer,Y,N,Estimated adult patient volume,8400,Synthetic
account_master,account_status,string,Y,N,Account lifecycle status,Growth,Synthetic
hcp_master,hcp_id,string,Y,N,Unique source identifier for HCP,HCP0001,Synthetic
hcp_master,hcp_name,string,Y,Y,Full HCP name in source master,Dr. Maya Patel,Synthetic
hcp_master,specialty_group,string,Y,N,Broad specialty classification,Oncology,Synthetic
hcp_master,sub_specialty,string,Y,N,Detailed specialty classification,Hematology Oncology,Synthetic
hcp_master,affiliated_account_id,string,Y,N,Primary account linkage,ACC004,Synthetic
hcp_master,affiliated_hospital,string,Y,N,Primary affiliated institution,City General Hospital,Synthetic
hcp_master,region,string,Y,N,Commercial region,West,Synthetic
hcp_master,territory,string,Y,N,Sales territory code,T02,Synthetic
hcp_master,channel_preference,string,Y,N,Preferred field/remote channel,Virtual,Synthetic
hcp_master,consent_status,string,Y,N,Consent state for digital/commercial contact,Opted-in,Synthetic
hcp_master,preferred_language,string,Y,N,Preferred language,English,Synthetic
hcp_master,digital_engagement_tier,string,Y,N,Relative digital engagement score band,High,Synthetic
hcp_master,speaker_potential_flag,integer,Y,N,Flag indicating possible speaker potential,1,Synthetic
hcp_master,publication_activity_level,string,Y,N,Publication activity band,Medium,Synthetic
hcp_master,first_seen_date,date,Y,N,Date HCP first appeared in source system,2023-04-12,Synthetic
hcp_master,last_updated_date,date,Y,N,Most recent refresh date,2026-03-21,Synthetic
product_master,product_id,string,Y,N,Unique product identifier,PRD001,Synthetic
product_master,brand_name,string,Y,N,Brand name,Darzalex,Synthetic
product_master,primary_indication,string,Y,N,Core disease area,Oncology,Synthetic
product_master,dosage_form,string,Y,N,Formulation route or form,IV/SC,Synthetic
product_master,molecule_class,string,Y,N,Drug class,Biologic,Synthetic
product_master,life_cycle_stage,string,Y,N,Commercial maturity stage,L1/L2,Synthetic
product_master,launch_year,integer,Y,N,Initial launch year,2016,Synthetic
product_master,channel_focus,string,Y,N,Primary go-to-market focus,Field,Synthetic
product_master,status,string,Y,N,Commercial status,Launched,Synthetic
publication_source,publication_id,string,Y,N,Unique publication source identifier,PUB0001,Synthetic
publication_source,hcp_id,string,Y,N,Linked HCP author or investigator,HCP0042,Synthetic
publication_source,publication_date,date,Y,N,Publication date,2025-08-14,Synthetic
